common_name,genus,species
Northern Cardinal,Cardinalis,cardinalis
American Goldfinch,Spinus,tristis
Blue Jay,Cyanocitta,cristata
Black-capped Chickadee,Poecile,atricapillus
House Sparrow,Passer,domesticus
American Robin,Turdus,migratorius
Mourning Dove,Zenaida,macroura
Downy Woodpecker,Dryobates,pubescens
Tufted Titmouse,Baeolophus,bicolor
White-breasted Nuthatch,Sitta,carolinensis
House Finch,Haemorhous,mexicanus
Dark-eyed Junco,Junco,hyemalis
Red-winged Blackbird,Agelaius,phoeniceus
Common Grackle,Quiscalus,quiscula
European Starling,Sturnus,vulgaris
Carolina Wren,Thryothorus,ludovicianus
Song Sparrow,Melospiza,melodia
Ruby-throated Hummingbird,Archilochus,colubris
Eastern Bluebird,Sialia,sialis
Baltimore Oriole,Icterus,galbula
